sighting_id,vehicle_id,timestamp,location_id,source,confidence,registration_as_captured
VS00071,V008,2025-09-15 21:05:12,L013,Fuel Station Camera,0.62,OD14AB4957
VS00072,V008,2026-02-12 15:35:08,L027,Toll Camera,0.71,OD14AB4957
VS00073,V008,2026-03-03 08:55:29,L005,Parking System,0.55,OD14AB4957
VS00074,V008,2026-04-23 21:45:50,L012,Parking System,0.74,OD14AB4957
VS00075,V008,2025-12-23 23:40:08,L024,Toll Camera,0.88,OD14AD4957
VS00076,V009,2025-10-07 11:15:06,L001,Parking System,0.55,OD02DG7178
VS00077,V009,2026-04-17 23:30:44,L017,Traffic Camera,0.65,OD02DG7178
VS00078,V009,2026-01-24 11:15:22,L001,Toll Camera,0.75,OD02DG7178
VS00079,V009,2025-09-14 12:50:23,L012,Fuel Station Camera,0.72,OD02DG7178
VS00080,V009,2025-09-20 07:10:14,L020,Fuel Station Camera,0.86,OD02DG7178
VS00081,V009,2026-03-04 16:30:08,L027,Traffic Camera,0.86,OD02DG7178
VS00082,V009,2026-04-20 13:25:13,L007,Parking System,0.92,OD02DG7178
VS00083,V009,2026-04-25 07:30:58,L009,Toll Camera,0.89,OD02DG7178
VS00084,V009,2026-01-06 20:35:16,L013,Traffic Camera,0.78,OD02DG7178
VS00085,V009,2026-03-12 12:30:53,L007,Toll Camera,0.54,OD02DG7178
VS00086,V010,2025-12-19 10:30:54,L017,Traffic Camera,0.84,OD09HG3065
VS00087,V010,2025-11-10 19:25:14,L002,Toll Camera,0.81,OD09HG3065
VS00088,V010,2026-01-05 20:35:27,L018,Toll Camera,0.78,OD09HG3065
VS00089,V010,2026-01-20 23:45:12,L026,Traffic Camera,0.7,OD09HG3065
VS00090,V010,2025-09-27 20:25:42,L025,Toll Camera,0.63,OD09HG3065
VS00091,V010,2025-10-18 10:25:25,L019,Toll Camera,0.67,OD09HG3065
VS00092,V010,2025-11-21 06:20:47,L024,Toll Camera,0.86,OD09HG3065
VS00093,V010,2025-10-05 23:20:15,L006,Traffic Camera,0.58,OD09HG3065
VS00094,V010,2026-01-17 22:50:12,L018,Parking System,0.9,OD09HG3065
VS00095,V010,2025-11-22 08:25:29,L013,Toll Camera,0.93,OD09HG3065
VS00096,V010,2026-04-21 06:25:57,L023,Fuel Station Camera,0.95,OD09HG3065
VS00097,V011,2026-04-25 07:05:17,L021,Fuel Station Camera,0.6,OD02GD3552
VS00098,V011,2026-04-14 08:40:59,L026,Toll Camera,0.91,OD02GD3552
VS00099,V011,2026-04-01 19:05:11,L007,Traffic Camera,0.5,OD02GD3552
VS00100,V011,2025-11-05 19:50:10,L022,Toll Camera,0.66,OD02GD3562
VS00101,V011,2025-10-03 21:30:26,L019,Traffic Camera,0.57,OD02GD3552
VS00102,V011,2026-03-31 17:35:50,L010,Fuel Station Camera,0.79,OD02GD3552
VS00103,V011,2026-04-24 10:50:55,L018,Toll Camera,0.84,OD02GD3552
VS00104,V011,2025-12-07 12:05:26,L027,Traffic Camera,0.93,OD02GD3552
VS00105,V011,2025-11-25 15:00:47,L012,Toll Camera,0.72,OD02GD3552
VS00106,V012,2026-04-02 22:05:23,L022,Toll Camera,0.93,OD11EG6308
VS00107,V012,2026-03-03 06:15:20,L026,Parking System,0.88,OD11EH6348
VS00108,V012,2026-03-10 17:10:21,L013,Toll Camera,0.94,OD11EH6308
VS00109,V012,2026-02-13 20:40:42,L003,Fuel Station Camera,0.51,OD11EH6308
VS00110,V012,2025-11-13 15:25:43,L022,Traffic Camera,0.91,OD11EH6308
VS00111,V012,2026-03-19 07:55:07,L005,Toll Camera,0.57,OD11EH6308
VS00112,V012,2025-11-22 19:05:09,L018,Toll Camera,0.84,OD11EH6308
VS00113,V013,2025-11-22 07:25:48,L005,Parking System,0.6,OD11HA3752
VS00114,V013,2026-03-21 18:15:50,L002,Parking System,0.88,OD11HA375F
VS00115,V013,2026-01-18 13:35:53,L016,Fuel Station Camera,0.85,OD11HA3952
VS00116,V013,2026-01-26 12:30:08,L022,Traffic Camera,0.58,OD11HA3752
VS00117,V013,2025-11-22 20:45:32,L011,Traffic Camera,0.81,OD11HA3752
VS00118,V013,2026-04-04 16:35:17,L011,Toll Camera,0.69,OD11HA3752
VS00119,V013,2026-04-14 10:15:37,L020,Fuel Station Camera,0.79,OD11HA3752
VS00120,V013,2025-10-30 08:35:09,L027,Parking System,0.84,OD11HA3752
VS00121,V014,2025-09-17 17:00:08,L001,Toll Camera,0.54,OD05EA1927
VS00122,V014,2026-02-19 14:30:34,L001,Toll Camera,0.74,OD05EA1927
VS00123,V014,2025-09-10 10:25:54,L005,Fuel Station Camera,0.87,OD05EA1927
VS00124,V014,2026-03-15 12:55:41,L012,Fuel Station Camera,0.79,OD05EA1927
VS00125,V014,2025-12-21 17:45:16,L025,Parking System,0.74,OD05EA1927
VS00126,V014,2025-11-16 07:15:37,L016,Parking System,0.56,OD05EA1927
VS00127,V014,2026-03-10 11:10:54,L020,Fuel Station Camera,0.73,OD05EA1927
VS00128,V014,2026-04-07 11:10:54,L002,Fuel Station Camera,0.84,OD05EA1927
VS00129,V014,2026-04-17 20:20:32,L013,Traffic Camera,0.68,OD057A1927
VS00130,V015,2026-01-07 08:30:40,L025,Parking System,0.59,OD19FG1725
VS00131,V015,2026-03-22 15:05:49,L010,Traffic Camera,0.56,OD19FG1725
VS00132,V015,2025-09-26 21:10:26,L002,Parking System,0.71,OD19FG1725
VS00133,V015,2026-02-19 18:05:06,L008,Traffic Camera,0.75,OD19FG1725
VS00134,V015,2026-04-21 12:15:34,L026,Fuel Station Camera,0.79,OD19FG1725
VS00135,V015,2026-01-22 19:50:24,L023,Parking System,0.79,OD19FG1725
VS00136,V015,2025-11-05 07:05:16,L002,Fuel Station Camera,0.86,OD19FG1725
VS00137,V015,2025-12-25 12:10:46,L009,Parking System,0.76,OD19FG1725
VS00138,V015,2025-12-23 18:40:42,L002,Toll Camera,0.55,OD19FG1725
VS00139,V015,2025-11-24 19:40:02,L021,Parking System,0.82,OD19FG1725
VS00140,V015,2025-10-18 09:20:14,L021,Toll Camera,0.57,OD19FG1725
VS00141,V016,2026-01-26 07:00:07,L027,Parking System,0.64,OD05CF1005
VS00142,V016,2026-02-10 09:30:54,L006,Traffic Camera,0.77,OD057F1005
VS00143,V016,2026-02-27 19:10:08,L014,Fuel Station Camera,0.68,OD05CF1005
VS00144,V016,2025-12-19 22:25:43,L014,Fuel Station Camera,0.83,OD05CF1005
VS00145,V017,2026-03-14 21:42:18,L011,Warehouse Camera OCR,0.62,OD02KM7?16
VS00146,V017,2026-03-14 21:49:37,L011,Warehouse Camera OCR,0.58,OD02KM7?16
