access_id,person_id,location_id,timestamp,access_result,door,reader_id
AC00218,P033,L002,2026-03-24 20:35:18,denied,Main Entrance,RDR-L002
AC00219,P033,L014,2026-04-15 22:40:19,granted,Reception,RDR-L014
AC00220,P033,L018,2025-10-10 09:30:24,granted,Main Entrance,RDR-L018
AC00221,P033,L022,2026-04-18 07:05:23,granted,Main Entrance,RDR-L022
AC00222,P033,L014,2025-11-04 10:30:25,granted,Reception,RDR-L014
AC00223,P033,L014,2025-09-13 23:05:13,granted,Server Room Door,RDR-L014
AC00224,P034,L010,2025-09-26 18:35:32,granted,Reception,RDR-L010
AC00225,P034,L014,2025-10-28 13:00:12,granted,Parking Gate,RDR-L014
AC00226,P034,L022,2025-12-15 15:20:47,denied,Parking Gate,RDR-L022
AC00227,P035,L014,2025-09-25 20:15:05,granted,Server Room Door,RDR-L014
AC00228,P035,L006,2025-11-17 10:55:02,granted,Main Entrance,RDR-L006
AC00229,P035,L011,2025-11-27 07:40:44,granted,Server Room Door,RDR-L011
AC00230,P035,L018,2026-01-05 20:20:27,granted,Rear Gate,RDR-L018
AC00231,P036,L022,2026-04-03 16:25:54,granted,Parking Gate,RDR-L022
AC00232,P036,L022,2026-03-02 20:55:55,granted,Parking Gate,RDR-L022
AC00233,P036,L022,2025-12-04 14:55:09,granted,Parking Gate,RDR-L022
AC00234,P036,L011,2025-11-18 22:45:37,granted,Rear Gate,RDR-L011
AC00235,P036,L010,2025-12-26 08:40:39,granted,Rear Gate,RDR-L010
AC00236,P036,L014,2025-11-15 06:15:31,granted,Rear Gate,RDR-L014
AC00237,P036,L014,2026-04-03 16:35:01,granted,Rear Gate,RDR-L014
AC00238,P036,L014,2025-09-28 21:40:50,granted,Server Room Door,RDR-L014
AC00239,P036,L011,2025-10-29 21:45:54,granted,Main Entrance,RDR-L011
AC00240,P037,L022,2025-12-28 23:50:32,granted,Server Room Door,RDR-L022
AC00241,P037,L018,2025-12-12 22:10:05,granted,Parking Gate,RDR-L018
AC00242,P037,L002,2025-10-16 14:25:10,granted,Server Room Door,RDR-L002
AC00243,P037,L022,2026-01-18 09:40:21,granted,Main Entrance,RDR-L022
AC00244,P037,L022,2025-12-08 23:40:45,granted,Rear Gate,RDR-L022
AC00245,P037,L006,2026-04-16 23:50:58,granted,Reception,RDR-L006
AC00246,P037,L010,2026-04-08 19:40:08,granted,Rear Gate,RDR-L010
AC00247,P037,L006,2026-02-06 15:15:11,denied,Rear Gate,RDR-L006
AC00248,P037,L022,2026-04-19 18:00:56,granted,Main Entrance,RDR-L022
AC00249,P038,L006,2025-10-23 15:35:13,granted,Main Entrance,RDR-L006
AC00250,P038,L011,2026-03-24 11:20:42,granted,Parking Gate,RDR-L011
AC00251,P038,L026,2025-12-04 12:05:16,granted,Rear Gate,RDR-L026
AC00252,P038,L006,2025-12-01 12:00:20,granted,Rear Gate,RDR-L006
AC00253,P038,L022,2025-11-19 14:40:52,granted,Main Entrance,RDR-L022
AC00254,P039,L026,2026-03-09 11:05:29,granted,Server Room Door,RDR-L026
AC00255,P039,L014,2025-12-07 12:40:32,granted,Parking Gate,RDR-L014
AC00256,P039,L002,2026-04-25 14:30:45,granted,Server Room Door,RDR-L002
AC00257,P039,L018,2025-11-28 21:40:57,granted,Parking Gate,RDR-L018
AC00258,P039,L002,2025-10-24 14:20:17,granted,Main Entrance,RDR-L002
AC00259,P040,L002,2026-03-08 21:05:14,granted,Reception,RDR-L002
AC00260,P040,L002,2026-03-03 16:35:37,granted,Parking Gate,RDR-L002
AC00261,P040,L006,2026-04-21 08:25:31,granted,Parking Gate,RDR-L006
AC00262,P040,L014,2025-11-10 23:40:20,granted,Rear Gate,RDR-L014
AC00263,P040,L018,2026-03-09 18:05:59,denied,Rear Gate,RDR-L018
AC00264,P040,L022,2026-03-06 09:20:06,granted,Parking Gate,RDR-L022
AC00265,P040,L010,2025-11-04 14:10:15,granted,Rear Gate,RDR-L010
AC00266,P040,L026,2025-12-23 14:30:41,granted,Parking Gate,RDR-L026
AC00267,P040,L006,2025-10-05 12:00:06,granted,Reception,RDR-L006
AC00268,P041,L010,2025-12-28 10:15:17,granted,Parking Gate,RDR-L010
AC00269,P041,L006,2026-03-09 17:10:57,granted,Reception,RDR-L006
AC00270,P041,L002,2025-10-08 15:50:28,granted,Parking Gate,RDR-L002
AC00271,P041,L018,2026-01-10 22:35:38,granted,Main Entrance,RDR-L018
AC00272,P041,L026,2025-09-29 20:20:01,granted,Reception,RDR-L026
AC00273,P041,L006,2026-01-23 08:20:30,granted,Rear Gate,RDR-L006
AC00274,P041,L026,2025-11-01 18:55:56,granted,Reception,RDR-L026
AC00275,P041,L006,2025-10-13 15:20:23,granted,Main Entrance,RDR-L006
AC00276,P042,L018,2026-04-01 15:30:15,granted,Reception,RDR-L018
AC00277,P042,L011,2026-03-25 21:00:59,granted,Main Entrance,RDR-L011
AC00278,P042,L026,2025-11-28 11:10:55,granted,Main Entrance,RDR-L026
AC00279,P042,L026,2026-03-30 08:30:47,granted,Main Entrance,RDR-L026
AC00280,P042,L026,2025-11-20 06:20:06,granted,Rear Gate,RDR-L026
AC00281,P042,L018,2025-09-12 19:55:53,granted,Server Room Door,RDR-L018
AC00282,P042,L026,2026-02-04 07:40:21,granted,Parking Gate,RDR-L026
AC00283,P042,L006,2026-01-17 06:20:43,granted,Main Entrance,RDR-L006
AC00284,P042,L010,2026-03-13 19:10:53,granted,Server Room Door,RDR-L010
AC00285,P009,L011,2026-03-14 20:37:00,granted,Main Entrance,RDR-L011
AC00286,P009,L011,2026-03-14 21:42:00,denied,Rear Gate,RDR-L011
AC00287,P009,L011,2026-03-14 21:36:52,granted,Rear Gate,RDR-L011
AC00288,P009,L011,2026-03-14 21:48:11,denied,Server Room Door,RDR-L011
