gps_id,movement_id,person_id,timestamp,location_id,source,confidence,accuracy_meters
GPS00150,MV00274,P027,2026-04-19 09:00:06,L001,GPS,0.62,15
GPS00151,MV00275,P027,2026-03-21 08:00:08,L004,GPS,0.9,3
GPS00152,MV00276,P027,2026-02-10 15:55:54,L001,GPS,0.67,5
GPS00153,MV00278,P027,2025-12-28 12:25:15,L001,GPS,0.94,14
GPS00154,MV00280,P028,2025-12-03 19:00:16,L014,GPS,0.63,3
GPS00155,MV00287,P028,2026-01-23 11:55:24,L027,GPS,0.95,12
GPS00156,MV00289,P028,2026-04-04 21:25:19,L014,GPS,0.69,15
GPS00157,MV00291,P028,2025-12-02 16:55:39,L014,GPS,0.88,13
GPS00158,MV00292,P028,2026-01-13 23:50:41,L027,GPS,0.87,9
GPS00159,MV00295,P029,2026-03-07 09:15:20,L021,GPS,0.68,15
GPS00160,MV00296,P029,2025-10-27 20:10:35,L021,GPS,0.86,5
GPS00161,MV00297,P029,2026-03-28 11:15:28,L021,GPS,0.73,3
GPS00162,MV00298,P029,2026-01-05 20:45:34,L021,GPS,0.7,5
GPS00163,MV00300,P029,2026-03-16 18:05:04,L021,GPS,0.86,15
GPS00164,MV00301,P030,2025-10-06 14:00:30,L003,GPS,0.69,3
GPS00165,MV00303,P030,2026-02-12 22:55:18,L003,GPS,0.91,15
GPS00166,MV00304,P030,2025-11-01 14:35:51,L003,GPS,0.65,15
GPS00167,MV00306,P030,2025-12-26 11:00:08,L003,GPS,0.65,4
GPS00168,MV00309,P031,2026-02-03 06:35:58,L021,GPS,0.7,14
GPS00169,MV00310,P031,2026-02-07 06:45:10,L021,GPS,0.78,8
GPS00170,MV00311,P031,2025-11-29 22:40:07,L021,GPS,0.77,12
GPS00171,MV00313,P031,2026-03-16 07:20:35,L021,GPS,0.84,11
GPS00172,MV00314,P031,2025-11-29 16:25:39,L016,GPS,0.65,3
GPS00173,MV00315,P031,2025-11-09 23:40:17,L021,GPS,0.82,13
GPS00174,MV00316,P031,2025-09-26 15:45:38,L021,GPS,0.9,14
GPS00175,MV00319,P031,2025-10-12 13:55:31,L021,GPS,0.92,12
GPS00176,MV00320,P032,2025-10-27 22:10:54,L014,GPS,0.78,14
GPS00177,MV00323,P032,2026-03-27 11:55:41,L014,GPS,0.82,15
GPS00178,MV00324,P032,2026-04-21 21:35:33,L014,GPS,0.67,6
GPS00179,MV00327,P032,2026-01-25 12:55:54,L004,GPS,0.91,9
GPS00180,MV00328,P032,2025-11-02 19:50:59,L004,GPS,0.9,8
GPS00181,MV00329,P032,2025-12-22 12:50:16,L004,GPS,0.73,5
GPS00182,MV00332,P033,2025-12-25 23:55:43,L007,GPS,0.84,5
GPS00183,MV00334,P033,2025-12-26 16:30:44,L007,GPS,0.84,4
GPS00184,MV00336,P033,2026-03-02 17:40:46,L007,GPS,0.74,8
GPS00185,MV00338,P033,2025-10-09 09:55:43,L007,GPS,0.88,3
GPS00186,MV00341,P033,2025-10-31 08:25:42,L007,GPS,0.93,11
GPS00187,MV00342,P033,2026-01-31 12:40:19,L014,GPS,0.88,13
GPS00188,MV00345,P034,2025-09-24 16:15:36,L021,GPS,0.92,14
GPS00189,MV00347,P034,2025-09-14 07:45:22,L010,GPS,0.92,7
GPS00190,MV00352,P035,2026-01-05 19:40:51,L001,GPS,0.69,5
GPS00191,MV00353,P035,2025-11-18 20:05:40,L022,GPS,0.92,5
GPS00192,MV00354,P035,2025-11-23 13:50:46,L022,GPS,0.69,9
GPS00193,MV00356,P035,2025-09-29 20:35:52,L022,GPS,0.81,13
GPS00194,MV00357,P035,2026-04-04 16:05:56,L022,GPS,0.74,10
GPS00195,MV00359,P035,2025-11-01 12:00:10,L001,GPS,0.61,3
GPS00196,MV00360,P035,2026-03-14 07:15:06,L001,GPS,0.79,13
GPS00197,MV00361,P035,2025-12-18 07:25:11,L001,GPS,0.95,3
GPS00198,MV00362,P035,2026-02-20 13:15:29,L022,GPS,0.64,12
GPS00199,MV00363,P035,2026-02-17 07:35:31,L001,GPS,0.84,7
GPS00200,MV00364,P035,2025-10-25 20:45:10,L022,GPS,0.7,12
GPS00201,MV00366,P036,2026-03-30 08:00:01,L003,GPS,0.89,4
GPS00202,MV00368,P036,2025-11-11 08:30:12,L003,GPS,0.95,14
GPS00203,MV00370,P036,2025-11-05 15:35:06,L003,GPS,0.93,8
GPS00204,MV00373,P036,2025-12-10 15:35:53,L018,GPS,0.8,10
GPS00205,MV00382,P037,2026-02-18 20:05:53,L024,GPS,0.85,3
GPS00206,MV00386,P037,2026-03-26 21:35:09,L021,GPS,0.92,5
GPS00207,MV00387,P037,2025-12-22 23:15:57,L021,GPS,0.76,12
GPS00208,MV00388,P038,2026-01-09 20:15:40,L001,GPS,0.78,7
GPS00209,MV00390,P038,2026-02-12 07:10:02,L003,GPS,0.67,3
GPS00210,MV00391,P038,2026-01-02 20:45:46,L001,GPS,0.64,10
GPS00211,MV00393,P038,2026-03-15 11:25:10,L001,GPS,0.89,6
GPS00212,MV00397,P038,2026-03-17 14:00:45,L003,GPS,0.77,11
GPS00213,MV00400,P038,2025-11-27 09:25:41,L003,GPS,0.78,13
GPS00214,MV00401,P038,2026-03-05 11:35:28,L001,GPS,0.7,10
GPS00215,MV00403,P038,2025-11-18 11:20:28,L001,GPS,0.74,8
GPS00216,MV00404,P039,2026-04-01 15:10:17,L010,GPS,0.77,11
GPS00217,MV00405,P039,2025-10-01 21:05:49,L018,GPS,0.94,15
GPS00218,MV00408,P039,2026-04-16 14:40:26,L018,GPS,0.93,12
GPS00219,MV00409,P039,2026-03-14 19:25:49,L018,GPS,0.92,8
GPS00220,MV00410,P039,2025-09-30 13:00:55,L018,GPS,0.92,4
GPS00221,MV00412,P039,2025-09-23 23:35:31,L018,GPS,0.69,5
GPS00222,MV00417,P040,2026-01-12 17:50:53,L018,GPS,0.84,15
GPS00223,MV00419,P040,2026-03-06 09:10:23,L024,GPS,0.95,7
GPS00224,MV00421,P040,2026-03-08 18:35:59,L024,GPS,0.9,12
GPS00225,MV00422,P040,2025-11-01 17:00:52,L018,GPS,0.88,4
GPS00226,MV00423,P040,2025-11-17 18:00:06,L018,GPS,0.68,11
GPS00227,MV00425,P041,2026-03-24 15:05:32,L014,GPS,0.77,9
GPS00228,MV00427,P041,2026-04-13 06:20:19,L014,GPS,0.83,9
GPS00229,MV00428,P041,2025-09-11 22:10:04,L014,GPS,0.76,4
GPS00230,MV00430,P041,2026-01-17 14:15:15,L014,GPS,0.62,4
GPS00231,MV00431,P041,2026-01-15 13:55:27,L014,GPS,0.7,4
GPS00232,MV00432,P041,2026-02-02 18:00:36,L014,GPS,0.62,14
GPS00233,MV00433,P041,2025-12-19 11:40:12,L019,GPS,0.93,10
GPS00234,MV00435,P042,2025-09-23 21:30:45,L001,GPS,0.82,15
GPS00235,MV00436,P042,2025-10-05 12:25:17,L001,GPS,0.85,3
GPS00236,MV00438,P042,2026-01-12 20:25:22,L022,GPS,0.79,3
GPS00237,MV00439,P042,2026-04-01 10:50:58,L022,GPS,0.76,7
GPS00238,MV00440,P042,2026-01-06 16:05:41,L001,GPS,0.7,11
GPS00239,MV00443,P042,2025-12-29 15:40:37,L001,GPS,0.74,7
GPS00240,MV00445,P009,2026-03-14 21:44:00,L011,GPS,0.82,9
GPS00241,MV00447,P025,2026-03-14 21:37:00,L001,GPS,0.7,12
GPS00242,MV00448,P006,2026-03-14 21:47:00,L013,GPS,0.88,6
