movement_id,person_id,timestamp,location_id,source,confidence,accuracy_meters
MV00083,P008,2025-11-13 13:30:55,L016,GPS,0.77,4
MV00084,P008,2025-12-01 14:45:31,L016,GPS,0.72,5
MV00085,P008,2025-10-22 15:35:55,L016,GPS,0.9,14
MV00086,P008,2025-09-20 14:05:07,L018,GPS,0.78,13
MV00087,P008,2025-11-19 20:15:53,L018,Cell Tower Approximation,0.54,669
MV00088,P008,2026-04-03 07:55:24,L018,GPS,0.88,7
MV00089,P009,2025-12-18 08:55:30,L018,Cell Tower Approximation,0.51,262
MV00090,P009,2025-09-27 11:00:40,L027,GPS,0.88,14
MV00091,P009,2026-03-03 18:05:17,L027,GPS,0.65,5
MV00092,P009,2025-12-08 11:05:59,L027,Cell Tower Approximation,0.51,191
MV00093,P009,2025-10-19 12:00:27,L018,Cell Tower Approximation,0.47,815
MV00094,P009,2025-11-29 17:30:08,L027,GPS,0.67,15
MV00095,P009,2025-10-18 13:05:32,L027,GPS,0.84,8
MV00096,P009,2026-03-07 16:55:49,L018,GPS,0.72,8
MV00097,P010,2025-09-17 21:00:36,L010,Cell Tower Approximation,0.67,437
MV00098,P010,2026-03-13 23:55:23,L010,GPS,0.74,13
MV00099,P010,2025-11-19 17:55:57,L001,GPS,0.8,12
MV00100,P010,2026-03-18 17:05:51,L010,GPS,0.82,3
MV00101,P010,2026-02-12 07:40:36,L010,Cell Tower Approximation,0.61,855
MV00102,P010,2025-10-23 06:00:09,L010,GPS,0.93,8
MV00103,P011,2026-01-13 21:00:12,L018,GPS,0.79,9
MV00104,P011,2025-12-11 10:50:24,L018,Cell Tower Approximation,0.37,482
MV00105,P011,2025-12-07 23:45:58,L027,GPS,0.63,15
MV00106,P011,2026-01-02 15:15:29,L027,Cell Tower Approximation,0.63,622
MV00107,P011,2025-09-16 11:40:40,L018,GPS,0.72,3
MV00108,P011,2025-12-05 23:05:09,L018,Cell Tower Approximation,0.38,608
MV00109,P011,2026-01-28 07:15:11,L027,GPS,0.87,11
MV00110,P011,2025-11-17 06:35:35,L018,Cell Tower Approximation,0.44,176
MV00111,P011,2025-09-28 07:00:47,L027,Cell Tower Approximation,0.4,618
MV00112,P011,2025-11-08 10:25:42,L027,Cell Tower Approximation,0.5,684
MV00113,P012,2025-10-13 16:35:12,L022,Cell Tower Approximation,0.67,625
MV00114,P012,2026-03-16 14:35:43,L022,GPS,0.66,9
MV00115,P012,2025-12-03 14:15:42,L022,GPS,0.71,3
MV00116,P012,2026-01-27 16:35:36,L014,GPS,0.76,10
MV00117,P012,2025-10-19 06:10:59,L022,GPS,0.84,9
MV00118,P012,2026-02-15 16:40:25,L022,GPS,0.62,9
MV00119,P012,2026-03-05 11:25:34,L022,Cell Tower Approximation,0.5,418
MV00120,P013,2025-11-24 18:20:18,L001,Cell Tower Approximation,0.41,798
MV00121,P013,2025-09-30 10:15:31,L001,GPS,0.93,14
MV00122,P013,2026-03-28 14:35:52,L001,Cell Tower Approximation,0.69,538
MV00123,P013,2026-01-22 08:45:38,L022,Cell Tower Approximation,0.38,756
MV00124,P013,2025-11-27 19:45:00,L022,GPS,0.88,13
MV00125,P013,2025-12-29 08:05:49,L001,Cell Tower Approximation,0.42,654
MV00126,P013,2026-03-24 21:50:45,L022,Cell Tower Approximation,0.49,361
MV00127,P013,2026-01-20 15:45:57,L022,GPS,0.82,12
MV00128,P013,2026-01-04 06:00:54,L001,GPS,0.91,14
MV00129,P013,2025-11-09 16:05:24,L022,GPS,0.83,10
MV00130,P013,2025-10-20 06:45:54,L022,GPS,0.73,14
MV00131,P013,2026-01-21 20:40:06,L022,GPS,0.67,4
MV00132,P013,2025-12-04 10:05:28,L022,Cell Tower Approximation,0.52,342
MV00133,P014,2025-12-19 16:35:05,L024,Cell Tower Approximation,0.61,767
MV00134,P014,2025-12-17 19:25:54,L021,Cell Tower Approximation,0.59,471
MV00135,P014,2026-01-29 08:35:01,L024,Cell Tower Approximation,0.38,381
MV00136,P014,2025-12-01 12:20:57,L021,Cell Tower Approximation,0.6,857
MV00137,P014,2025-09-27 22:45:17,L024,Cell Tower Approximation,0.58,435
MV00138,P014,2025-09-19 17:00:46,L021,Cell Tower Approximation,0.66,836
MV00139,P014,2025-10-16 06:40:46,L024,GPS,0.76,8
MV00140,P014,2026-04-20 14:25:58,L024,GPS,0.78,10
MV00141,P014,2026-02-21 19:10:09,L024,Cell Tower Approximation,0.62,701
MV00142,P014,2026-02-21 13:45:49,L024,GPS,0.67,10
MV00143,P014,2026-03-04 06:20:13,L024,Cell Tower Approximation,0.52,311
MV00144,P014,2026-01-30 11:30:47,L024,GPS,0.69,13
MV00145,P014,2025-12-29 07:45:00,L024,Cell Tower Approximation,0.5,468
MV00146,P014,2026-04-12 08:15:38,L021,GPS,0.92,14
MV00147,P014,2025-12-11 09:00:18,L021,Cell Tower Approximation,0.38,326
MV00148,P014,2025-12-02 23:50:45,L024,GPS,0.9,12
MV00149,P015,2026-02-02 15:55:08,L004,GPS,0.62,9
MV00150,P015,2026-04-18 09:45:31,L014,Cell Tower Approximation,0.41,571
MV00151,P015,2026-03-03 07:10:33,L014,Cell Tower Approximation,0.6,811
MV00152,P015,2026-02-08 18:25:25,L014,GPS,0.92,11
MV00153,P015,2026-03-24 20:40:24,L014,GPS,0.85,6
MV00154,P015,2026-03-26 15:50:43,L014,GPS,0.8,9
MV00155,P015,2025-12-17 22:55:05,L014,Cell Tower Approximation,0.53,287
MV00156,P016,2025-11-19 20:20:47,L022,GPS,0.91,5
MV00157,P016,2026-02-17 17:45:11,L021,GPS,0.65,8
MV00158,P016,2026-03-07 23:15:40,L021,GPS,0.68,5
MV00159,P016,2026-01-17 13:45:17,L021,GPS,0.86,3
MV00160,P016,2026-03-07 06:25:27,L021,Cell Tower Approximation,0.68,699
MV00161,P016,2025-10-15 07:15:45,L022,GPS,0.85,7
MV00162,P016,2025-10-12 19:05:45,L022,GPS,0.92,9
MV00163,P017,2025-12-02 10:25:27,L003,Cell Tower Approximation,0.36,375
MV00164,P017,2026-01-24 21:30:16,L003,GPS,0.62,11
MV00165,P017,2026-03-26 15:30:14,L003,GPS,0.82,12
MV00166,P017,2026-01-12 15:50:40,L003,Cell Tower Approximation,0.45,360
MV00167,P017,2025-09-25 15:15:37,L014,GPS,0.84,11
MV00168,P017,2025-10-08 08:15:40,L003,GPS,0.76,12
MV00169,P017,2026-02-23 06:55:24,L014,Cell Tower Approximation,0.55,867
MV00170,P017,2026-03-21 21:20:21,L014,Cell Tower Approximation,0.52,165
MV00171,P017,2026-01-11 21:05:48,L014,GPS,0.7,11
MV00172,P018,2025-09-24 21:55:54,L022,GPS,0.7,11
MV00173,P018,2026-04-03 18:45:46,L014,Cell Tower Approximation,0.48,443
MV00174,P018,2026-04-03 12:20:56,L027,GPS,0.85,9
MV00175,P018,2025-11-24 14:40:57,L015,GPS,0.92,9
MV00176,P018,2026-02-10 10:50:25,L020,Cell Tower Approximation,0.54,169
MV00177,P018,2026-02-05 16:55:18,L016,GPS,0.65,15
MV00178,P018,2026-03-31 07:00:15,L018,GPS,0.61,9
MV00179,P018,2025-11-07 18:00:29,L018,Cell Tower Approximation,0.69,347
MV00180,P018,2026-03-28 22:25:58,L018,Cell Tower Approximation,0.44,170
MV00181,P018,2025-11-18 19:05:16,L018,GPS,0.87,8
MV00182,P018,2025-09-13 13:10:11,L013,GPS,0.84,10
MV00183,P019,2025-12-19 11:55:59,L018,GPS,0.91,14
MV00184,P019,2025-10-06 13:30:54,L007,GPS,0.74,15
MV00185,P019,2026-01-21 10:05:46,L018,Cell Tower Approximation,0.53,300
MV00186,P019,2025-10-06 19:25:36,L007,GPS,0.94,8
MV00187,P019,2025-10-27 23:50:10,L007,Cell Tower Approximation,0.5,570
MV00188,P019,2025-09-13 20:45:26,L018,Cell Tower Approximation,0.58,354
MV00189,P020,2026-01-21 15:25:55,L023,GPS,0.76,9
MV00190,P020,2025-12-27 19:55:22,L023,GPS,0.69,15
MV00191,P020,2026-03-27 06:35:27,L018,GPS,0.77,10
MV00192,P020,2025-11-20 07:05:19,L018,Cell Tower Approximation,0.56,540
MV00193,P020,2025-10-11 15:30:38,L018,Cell Tower Approximation,0.45,867
MV00194,P020,2025-10-14 13:00:15,L023,GPS,0.67,13
MV00195,P020,2025-11-09 21:35:45,L018,Cell Tower Approximation,0.65,743
MV00196,P020,2026-02-26 16:10:20,L018,GPS,0.9,13
MV00197,P020,2026-02-02 16:25:40,L018,Cell Tower Approximation,0.43,358
MV00198,P020,2025-09-24 22:45:11,L018,Cell Tower Approximation,0.48,242
MV00199,P020,2025-09-10 08:40:42,L018,Cell Tower Approximation,0.5,709
MV00200,P020,2025-11-05 22:15:05,L023,Cell Tower Approximation,0.39,161
MV00201,P020,2025-11-12 18:20:01,L023,GPS,0.74,8
MV00202,P020,2026-01-25 10:05:56,L018,Cell Tower Approximation,0.43,502
MV00203,P021,2026-03-17 12:00:25,L021,Cell Tower Approximation,0.56,520
MV00204,P021,2025-12-15 08:15:33,L021,GPS,0.84,3
MV00205,P021,2025-11-02 08:50:05,L024,GPS,0.91,9
MV00206,P021,2026-03-23 11:25:58,L024,GPS,0.81,8
MV00207,P021,2026-04-18 22:10:14,L024,Cell Tower Approximation,0.55,690
MV00208,P021,2026-03-08 23:25:30,L021,Cell Tower Approximation,0.63,453
MV00209,P021,2026-03-05 17:20:45,L021,GPS,0.63,14
MV00210,P021,2026-04-18 22:50:16,L024,Cell Tower Approximation,0.5,197
MV00211,P021,2025-12-03 13:55:51,L024,GPS,0.78,10
MV00212,P022,2026-02-07 21:35:46,L001,GPS,0.62,15
MV00213,P022,2026-04-01 13:30:54,L022,Cell Tower Approximation,0.54,350
MV00214,P022,2025-10-14 10:45:59,L001,GPS,0.88,13
MV00215,P022,2025-10-25 11:25:35,L022,Cell Tower Approximation,0.62,637
MV00216,P022,2026-04-15 10:50:17,L022,GPS,0.9,5
MV00217,P022,2025-11-26 17:25:12,L022,GPS,0.6,9
MV00218,P022,2026-04-24 06:05:56,L022,GPS,0.84,8
MV00219,P023,2025-11-20 23:10:49,L001,Cell Tower Approximation,0.65,316
MV00220,P023,2025-11-28 09:45:59,L004,GPS,0.79,4
MV00221,P023,2026-03-30 10:00:41,L004,GPS,0.63,11
MV00222,P023,2025-12-22 19:25:21,L001,GPS,0.8,12
MV00223,P023,2025-11-21 13:15:39,L001,Cell Tower Approximation,0.52,594
MV00224,P023,2026-01-02 21:45:35,L004,Cell Tower Approximation,0.67,842
MV00225,P023,2025-11-02 09:25:38,L004,GPS,0.62,7
MV00226,P023,2025-12-19 22:25:26,L001,GPS,0.66,4
MV00227,P023,2025-10-08 13:20:48,L001,Cell Tower Approximation,0.62,150
MV00228,P023,2025-10-13 06:05:22,L004,GPS,0.74,11
MV00229,P023,2025-11-19 07:25:30,L001,Cell Tower Approximation,0.37,664
MV00230,P023,2026-03-23 23:15:15,L001,Cell Tower Approximation,0.54,458
MV00231,P023,2026-01-14 18:05:39,L004,GPS,0.75,5
MV00232,P023,2025-10-09 11:35:11,L004,Cell Tower Approximation,0.69,893
MV00233,P024,2026-03-11 21:15:46,L018,GPS,0.69,12
MV00234,P024,2026-03-04 09:05:07,L018,GPS,0.73,11
MV00235,P024,2026-04-17 06:20:30,L016,GPS,0.7,15
MV00236,P024,2026-03-25 11:45:58,L018,GPS,0.64,13
MV00237,P024,2025-09-14 16:15:25,L016,GPS,0.66,6
MV00238,P024,2025-11-23 07:30:28,L016,Cell Tower Approximation,0.5,838
MV00239,P024,2025-09-12 06:25:54,L018,GPS,0.79,9
MV00240,P024,2026-04-02 08:35:10,L016,Cell Tower Approximation,0.69,251
MV00241,P024,2025-10-25 22:15:52,L016,GPS,0.61,12
MV00242,P024,2025-10-23 18:10:23,L016,Cell Tower Approximation,0.62,299
MV00243,P024,2026-01-19 20:20:25,L018,GPS,0.89,7
MV00244,P024,2025-11-19 08:55:04,L016,GPS,0.69,14
MV00245,P025,2025-11-15 19:10:14,L014,GPS,0.82,10
MV00246,P025,2026-03-10 15:00:12,L014,Cell Tower Approximation,0.47,815
MV00247,P025,2026-04-18 11:40:04,L003,Cell Tower Approximation,0.38,366
MV00248,P025,2026-01-25 15:45:13,L014,Cell Tower Approximation,0.47,848
MV00249,P025,2026-03-29 12:55:22,L014,GPS,0.61,8
MV00250,P025,2026-02-15 20:30:00,L003,GPS,0.9,13
MV00251,P025,2025-10-24 10:40:39,L003,GPS,0.95,14
MV00252,P025,2025-09-16 16:50:18,L014,GPS,0.93,6
MV00253,P025,2025-12-02 14:00:58,L014,GPS,0.89,15
MV00254,P025,2025-12-16 17:40:10,L014,GPS,0.62,14
MV00255,P025,2026-03-18 22:50:43,L014,Cell Tower Approximation,0.65,283
MV00256,P025,2026-02-16 18:50:26,L014,Cell Tower Approximation,0.69,764
MV00257,P025,2025-10-19 21:15:43,L003,Cell Tower Approximation,0.68,742
MV00258,P026,2025-09-19 09:05:13,L019,GPS,0.77,13
MV00259,P026,2025-12-29 15:20:34,L014,Cell Tower Approximation,0.62,502
MV00260,P026,2026-01-04 14:40:28,L014,GPS,0.92,8
MV00261,P026,2026-01-23 11:25:01,L019,Cell Tower Approximation,0.45,767
MV00262,P026,2025-11-08 23:20:52,L019,Cell Tower Approximation,0.47,224
MV00263,P026,2025-10-28 10:55:13,L014,Cell Tower Approximation,0.51,566
MV00264,P026,2025-09-15 19:10:27,L014,GPS,0.79,15
MV00265,P026,2025-11-27 23:05:41,L014,GPS,0.93,7
MV00266,P026,2025-09-12 23:00:21,L014,Cell Tower Approximation,0.53,710
MV00267,P027,2026-01-25 18:30:18,L004,Cell Tower Approximation,0.59,361
MV00268,P027,2026-03-21 08:50:19,L004,Cell Tower Approximation,0.35,190
MV00269,P027,2025-09-15 15:00:51,L004,GPS,0.76,10
MV00270,P027,2025-10-01 08:15:06,L004,GPS,0.68,10
MV00271,P027,2025-10-10 23:00:04,L001,GPS,0.71,8
MV00272,P027,2026-04-04 16:40:12,L001,Cell Tower Approximation,0.51,597
MV00273,P027,2026-02-19 19:05:30,L001,Cell Tower Approximation,0.62,369
MV00274,P027,2026-04-19 09:00:06,L001,GPS,0.62,15
MV00275,P027,2026-03-21 08:00:08,L004,GPS,0.9,3
MV00276,P027,2026-02-10 15:55:54,L001,GPS,0.67,5
MV00277,P027,2026-03-20 15:55:33,L001,Cell Tower Approximation,0.38,722
MV00278,P027,2025-12-28 12:25:15,L001,GPS,0.94,14
MV00279,P028,2025-09-12 08:40:17,L014,Cell Tower Approximation,0.41,183
MV00280,P028,2025-12-03 19:00:16,L014,GPS,0.63,3
MV00281,P028,2025-12-25 11:50:59,L027,Cell Tower Approximation,0.59,280
MV00282,P028,2026-03-04 07:35:43,L027,Cell Tower Approximation,0.56,823
MV00283,P028,2026-01-02 22:35:50,L027,Cell Tower Approximation,0.37,543
MV00284,P028,2025-10-22 20:00:53,L014,Cell Tower Approximation,0.42,541
MV00285,P028,2026-02-05 11:10:38,L014,Cell Tower Approximation,0.35,265
MV00286,P028,2025-10-12 15:20:01,L014,Cell Tower Approximation,0.44,345
MV00287,P028,2026-01-23 11:55:24,L027,GPS,0.95,12
MV00288,P028,2025-12-22 07:15:39,L027,Cell Tower Approximation,0.41,264
MV00289,P028,2026-04-04 21:25:19,L014,GPS,0.69,15
MV00290,P028,2025-11-20 12:00:40,L014,Cell Tower Approximation,0.37,559
MV00291,P028,2025-12-02 16:55:39,L014,GPS,0.88,13
MV00292,P028,2026-01-13 23:50:41,L027,GPS,0.87,9
MV00293,P029,2026-04-22 13:30:14,L007,Cell Tower Approximation,0.68,153
MV00294,P029,2026-01-04 23:35:43,L007,Cell Tower Approximation,0.41,427
MV00295,P029,2026-03-07 09:15:20,L021,GPS,0.68,15
MV00296,P029,2025-10-27 20:10:35,L021,GPS,0.86,5
MV00297,P029,2026-03-28 11:15:28,L021,GPS,0.73,3
MV00298,P029,2026-01-05 20:45:34,L021,GPS,0.7,5
MV00299,P029,2026-02-09 09:35:24,L007,Cell Tower Approximation,0.69,224
MV00300,P029,2026-03-16 18:05:04,L021,GPS,0.86,15
MV00301,P030,2025-10-06 14:00:30,L003,GPS,0.69,3
MV00302,P030,2026-01-03 19:15:57,L003,Cell Tower Approximation,0.42,765
MV00303,P030,2026-02-12 22:55:18,L003,GPS,0.91,15
MV00304,P030,2025-11-01 14:35:51,L003,GPS,0.65,15
MV00305,P030,2025-12-13 13:50:59,L003,Cell Tower Approximation,0.55,424
MV00306,P030,2025-12-26 11:00:08,L003,GPS,0.65,4
MV00307,P031,2026-04-05 16:20:48,L021,Cell Tower Approximation,0.36,746
MV00308,P031,2026-04-07 11:55:06,L021,Cell Tower Approximation,0.54,328
MV00309,P031,2026-02-03 06:35:58,L021,GPS,0.7,14
MV00310,P031,2026-02-07 06:45:10,L021,GPS,0.78,8
MV00311,P031,2025-11-29 22:40:07,L021,GPS,0.77,12
MV00312,P031,2025-12-18 21:10:22,L021,Cell Tower Approximation,0.37,319
MV00313,P031,2026-03-16 07:20:35,L021,GPS,0.84,11
MV00314,P031,2025-11-29 16:25:39,L016,GPS,0.65,3
MV00315,P031,2025-11-09 23:40:17,L021,GPS,0.82,13
MV00316,P031,2025-09-26 15:45:38,L021,GPS,0.9,14
MV00317,P031,2025-09-11 11:30:13,L016,Cell Tower Approximation,0.58,724
MV00318,P031,2025-12-01 13:25:16,L016,Cell Tower Approximation,0.67,283
MV00319,P031,2025-10-12 13:55:31,L021,GPS,0.92,12
MV00320,P032,2025-10-27 22:10:54,L014,GPS,0.78,14
MV00321,P032,2025-10-25 13:40:28,L014,Cell Tower Approximation,0.6,847
MV00322,P032,2025-10-13 18:20:52,L014,Cell Tower Approximation,0.59,832
MV00323,P032,2026-03-27 11:55:41,L014,GPS,0.82,15
MV00324,P032,2026-04-21 21:35:33,L014,GPS,0.67,6
MV00325,P032,2026-01-02 18:35:04,L004,Cell Tower Approximation,0.58,410
MV00326,P032,2025-12-06 16:05:15,L004,Cell Tower Approximation,0.53,674
MV00327,P032,2026-01-25 12:55:54,L004,GPS,0.91,9
MV00328,P032,2025-11-02 19:50:59,L004,GPS,0.9,8
MV00329,P032,2025-12-22 12:50:16,L004,GPS,0.73,5
MV00330,P032,2025-12-01 18:05:47,L004,Cell Tower Approximation,0.51,770
MV00331,P032,2026-01-09 09:20:47,L004,Cell Tower Approximation,0.6,319
MV00332,P033,2025-12-25 23:55:43,L007,GPS,0.84,5
MV00333,P033,2026-04-05 13:30:47,L014,Cell Tower Approximation,0.67,332
MV00334,P033,2025-12-26 16:30:44,L007,GPS,0.84,4
MV00335,P033,2025-10-23 23:10:43,L014,Cell Tower Approximation,0.49,790
MV00336,P033,2026-03-02 17:40:46,L007,GPS,0.74,8
MV00337,P033,2025-10-15 09:05:15,L014,Cell Tower Approximation,0.42,560
MV00338,P033,2025-10-09 09:55:43,L007,GPS,0.88,3
MV00339,P033,2025-11-07 08:30:45,L007,Cell Tower Approximation,0.52,366
MV00340,P033,2026-03-04 09:25:49,L007,Cell Tower Approximation,0.53,551
MV00341,P033,2025-10-31 08:25:42,L007,GPS,0.93,11
MV00342,P033,2026-01-31 12:40:19,L014,GPS,0.88,13
MV00343,P033,2026-01-13 08:35:02,L014,Cell Tower Approximation,0.44,433
MV00344,P034,2025-11-23 16:35:00,L010,Cell Tower Approximation,0.42,740
MV00345,P034,2025-09-24 16:15:36,L021,GPS,0.92,14
MV00346,P034,2026-04-20 21:20:08,L010,Cell Tower Approximation,0.59,731
MV00347,P034,2025-09-14 07:45:22,L010,GPS,0.92,7
MV00348,P034,2025-12-26 09:10:34,L021,Cell Tower Approximation,0.39,716
MV00349,P034,2026-01-12 07:20:06,L021,Cell Tower Approximation,0.56,528
MV00350,P035,2026-02-26 18:35:29,L022,Cell Tower Approximation,0.42,871
MV00351,P035,2025-11-21 22:55:03,L001,Cell Tower Approximation,0.67,247
MV00352,P035,2026-01-05 19:40:51,L001,GPS,0.69,5
MV00353,P035,2025-11-18 20:05:40,L022,GPS,0.92,5
MV00354,P035,2025-11-23 13:50:46,L022,GPS,0.69,9
MV00355,P035,2026-01-24 22:10:40,L022,Cell Tower Approximation,0.48,182
MV00356,P035,2025-09-29 20:35:52,L022,GPS,0.81,13
MV00357,P035,2026-04-04 16:05:56,L022,GPS,0.74,10
MV00358,P035,2026-03-03 13:55:15,L022,Cell Tower Approximation,0.57,254
MV00359,P035,2025-11-01 12:00:10,L001,GPS,0.61,3
MV00360,P035,2026-03-14 07:15:06,L001,GPS,0.79,13
MV00361,P035,2025-12-18 07:25:11,L001,GPS,0.95,3
MV00362,P035,2026-02-20 13:15:29,L022,GPS,0.64,12
MV00363,P035,2026-02-17 07:35:31,L001,GPS,0.84,7
MV00364,P035,2025-10-25 20:45:10,L022,GPS,0.7,12
MV00365,P035,2026-01-22 14:30:58,L022,Cell Tower Approximation,0.42,625
MV00366,P036,2026-03-30 08:00:01,L003,GPS,0.89,4
MV00367,P036,2025-10-30 14:15:46,L003,Cell Tower Approximation,0.65,391
MV00368,P036,2025-11-11 08:30:12,L003,GPS,0.95,14
MV00369,P036,2026-02-25 18:05:24,L018,Cell Tower Approximation,0.53,340
MV00370,P036,2025-11-05 15:35:06,L003,GPS,0.93,8
MV00371,P036,2026-03-05 06:25:15,L018,Cell Tower Approximation,0.62,157
MV00372,P036,2025-11-25 14:05:14,L003,Cell Tower Approximation,0.68,741
MV00373,P036,2025-12-10 15:35:53,L018,GPS,0.8,10
MV00374,P036,2026-01-10 09:25:45,L003,Cell Tower Approximation,0.69,819
